"household_id","individual_id","sex","age","age_p","married","form_married","nev_married","disability","religion","literacy","educ","work","member_r0","head_r0","relation_r0","relation_os_r0","member_r1","head_r1","respond_r1","relation_r1","relation_os_r1","member_r2","head_r2","respond_r2","relation_r2","relation_os_r2","member_r3","head_r3","respond_r3","relation_r3","relation_os_r3","member_r4","head_r4","respond_r4","relation_r4","relation_os_r4","member_r5","head_r5","respond_r5","relation_r5","relation_os_r5","member_r6","head_r6","respond_r6","relation_r6","relation_os_r6","member_r7","head_r7","respond_r7","relation_r7","relation_os_r7","member_r8","head_r8","respond_r8","relation_r8","relation_os_r8","member_r9","head_r9","respond_r9","relation_r9","relation_os_r9","member_r10","head_r10","respond_r10","relation_r10","relation_os_r10"
"010101088800910007",1,2,61,,0,1,0,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910007",2,1,27,,0,1,0,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910007",3,2,20,,0,1,0,0,1,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910007",5,2,11,,0,0,1,0,1,0,0,1,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910007",6,1,8,,0,0,0,0,,0,0,1,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910007",7,1,0,,0,0,0,,,,,,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910017",1,2,40,41,0,1,0,0,1,0,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910017",2,2,15,23,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910017",3,2,10,20,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910017",4,1,8,18,0,0,0,0,,0,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910017",5,1,5,15,0,0,0,,,0,0,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",1,2,35,,1,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",2,2,16,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",3,2,13,,0,0,1,0,1,1,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",4,2,11,,0,0,1,0,1,1,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",5,1,8,,0,0,0,0,,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",6,1,0,,0,0,0,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",7,2,0,,0,0,0,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910026",8,1,38,,1,0,0,0,1,1,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910029",1,2,20,21,0,1,0,0,1,1,1,0,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910029",2,1,1,5,0,0,0,,,,,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",1,1,53,,1,0,0,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",2,2,49,,1,0,0,0,1,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",3,1,25,,0,0,1,0,1,1,1,1,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",4,2,32,,0,1,0,0,1,0,0,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",5,2,27,,1,0,0,0,1,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",6,2,25,,0,1,0,0,1,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",7,2,20,,0,0,1,0,1,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",8,2,19,,0,0,1,0,1,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",9,2,16,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",10,2,6,,0,0,0,0,,0,0,,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910038",11,2,3,,0,0,0,,,,,,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910046",1,2,35,,0,1,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910046",2,1,12,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910046",3,2,8,,0,0,0,0,,0,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910046",4,1,6,,0,0,0,0,,0,0,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910046",5,1,0,,0,0,0,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910054",1,2,30,30,0,1,0,0,1,0,0,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910054",2,2,8,10,0,0,0,0,,0,1,0,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910054",3,1,2,4,0,0,0,,,,,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910062",1,1,56,,1,0,0,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910062",2,2,43,,1,0,0,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910062",3,1,18,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910062",4,2,17,,1,0,0,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010101088800910062",5,1,9,,0,0,0,0,,0,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
